Date,Time,Name,Status
10/16/2019,00:17:00,BLUE-TNK-3,ON
10/16/2019,00:17:00,BLUE-TNK-4,ON
10/16/2019,00:17:00,BluLED_24_5,ON
10/16/2019,00:40:58,BLUE-TNK-1,OFF
10/16/2019,00:40:58,BLUE-TNK-2,OFF
10/16/2019,00:40:58,BLUE-TNK-3,OFF
10/16/2019,00:40:58,BLUE-TNK-4,OFF
10/16/2019,00:40:58,BluLED_24_5,OFF
10/16/2019,01:06:00,BLUE-TNK-1,RampUp
10/16/2019,01:06:00,BLUE-TNK-2,RampUp
10/16/2019,01:06:00,BLUE-TNK-3,ON
10/16/2019,01:06:00,BLUE-TNK-4,ON
10/16/2019,01:06:00,BluLED_24_5,ON
10/16/2019,07:00:00,WHITE-TNK-1,RampUp
10/16/2019,07:00:00,WHITE-TNK-2,RampUp
10/16/2019,07:00:00,WHITE-TNK-3,ON
10/16/2019,07:00:00,WHITE-TNK-4,ON
10/16/2019,07:00:00,WhtLED_24_6,ON
10/16/2019,12:07:00,BLUE-TNK-1,OFF
10/16/2019,12:07:00,BLUE-TNK-2,OFF
10/16/2019,12:07:00,BLUE-TNK-3,OFF
10/16/2019,12:07:00,BLUE-TNK-4,OFF
10/16/2019,12:07:00,BluLED_24_5,OFF
10/16/2019,18:20:00,WHITE-TNK-1,OFF
10/16/2019,18:20:00,WHITE-TNK-2,OFF
10/16/2019,18:20:00,WHITE-TNK-3,OFF
10/16/2019,18:20:00,WHITE-TNK-4,OFF
10/16/2019,18:20:00,WhtLED_24_6,OFF
10/17/2019,01:54:00,BLUE-TNK-1,RampUp
10/17/2019,01:54:00,BLUE-TNK-2,RampUp
10/17/2019,01:54:00,BLUE-TNK-3,ON
10/17/2019,01:54:00,BLUE-TNK-4,ON
10/17/2019,01:54:00,BluLED_24_5,ON
10/17/2019,07:00:00,WHITE-TNK-1,RampUp
10/17/2019,07:00:00,WHITE-TNK-2,RampUp
10/17/2019,07:00:00,WHITE-TNK-3,ON
10/17/2019,07:00:00,WHITE-TNK-4,ON
10/17/2019,07:00:00,WhtLED_24_6,ON
