Date,Source,TempC
2019-12-10T00:00:00Z,Hobo-Tmp-1,15.85
2019-12-10T00:00:00Z,Hobo-Tmp-2,14.2
2019-12-10T00:00:00Z,Mean.Temp,15.03
2019-12-10T00:10:00Z,Hobo-Tmp-1,15.86
2019-12-10T00:10:00Z,Hobo-Tmp-2,14.2
2019-12-10T00:10:00Z,Mean.Temp,15.03
2019-12-10T00:20:00Z,Hobo-Tmp-1,15.85
2019-12-10T00:20:00Z,Hobo-Tmp-2,14.22
2019-12-10T00:20:00Z,Mean.Temp,15.03
2019-12-10T00:30:00Z,Hobo-Tmp-1,15.84
2019-12-10T00:30:00Z,Hobo-Tmp-2,14.19
2019-12-10T00:30:00Z,Mean.Temp,15.01
2019-12-10T00:40:00Z,Hobo-Tmp-1,15.86
2019-12-10T00:40:00Z,Hobo-Tmp-2,14.19
2019-12-10T00:40:00Z,Mean.Temp,15.03
2019-12-10T00:50:00Z,Hobo-Tmp-1,15.85
2019-12-10T00:50:00Z,Hobo-Tmp-2,14.23
2019-12-10T00:50:00Z,Mean.Temp,15.04
2019-12-10T01:00:00Z,Hobo-Tmp-1,15.86
2019-12-10T01:00:00Z,Hobo-Tmp-2,14.24
2019-12-10T01:00:00Z,Mean.Temp,15.05
2019-12-10T01:10:00Z,Hobo-Tmp-1,15.83
2019-12-10T01:10:00Z,Hobo-Tmp-2,14.24
2019-12-10T01:10:00Z,Mean.Temp,15.03
2019-12-10T01:20:00Z,Hobo-Tmp-1,15.85
2019-12-10T01:20:00Z,Hobo-Tmp-2,14.25
2019-12-10T01:20:00Z,Mean.Temp,15.05
2019-12-10T01:30:00Z,Hobo-Tmp-1,15.82
2019-12-10T01:30:00Z,Hobo-Tmp-2,14.25
2019-12-10T01:30:00Z,Mean.Temp,15.03
2019-12-10T01:40:00Z,Hobo-Tmp-1,15.77
2019-12-10T01:40:00Z,Hobo-Tmp-2,14.25
2019-12-10T01:40:00Z,Mean.Temp,15.01
2019-12-10T01:50:00Z,Hobo-Tmp-1,15.76
2019-12-10T01:50:00Z,Hobo-Tmp-2,14.25
2019-12-10T01:50:00Z,Mean.Temp,15.01
2019-12-10T02:00:00Z,Hobo-Tmp-1,15.74
2019-12-10T02:00:00Z,Hobo-Tmp-2,14.27
2019-12-10T02:00:00Z,Mean.Temp,15.01
2019-12-10T02:10:00Z,Hobo-Tmp-1,15.73
2019-12-10T02:10:00Z,Hobo-Tmp-2,14.26
2019-12-10T02:10:00Z,Mean.Temp,15
2019-12-10T02:20:00Z,Hobo-Tmp-1,15.72
2019-12-10T02:20:00Z,Hobo-Tmp-2,14.24
2019-12-10T02:20:00Z,Mean.Temp,14.98
2019-12-10T02:30:00Z,Hobo-Tmp-1,15.72
2019-12-10T02:30:00Z,Hobo-Tmp-2,14.27
2019-12-10T02:30:00Z,Mean.Temp,15
2019-12-10T02:40:00Z,Hobo-Tmp-1,15.73
2019-12-10T02:40:00Z,Hobo-Tmp-2,14.25
2019-12-10T02:40:00Z,Mean.Temp,14.99
2019-12-10T02:50:00Z,Hobo-Tmp-1,15.71
2019-12-10T02:50:00Z,Hobo-Tmp-2,14.25
2019-12-10T02:50:00Z,Mean.Temp,14.98
2019-12-10T03:00:00Z,Hobo-Tmp-1,15.74
2019-12-10T03:00:00Z,Hobo-Tmp-2,14.27
2019-12-10T03:00:00Z,Mean.Temp,15.01
2019-12-10T03:10:00Z,Hobo-Tmp-1,15.7
2019-12-10T03:10:00Z,Hobo-Tmp-2,14.28
